id,nama_sekolah,alamat,kontak,nspn
23231,Akademi Kesehatan Fisioterapi,Pattimura No 54 Kec Sail,-,10404518
23232,Akademi Keperawatan Payung Negeri,Jl. Tamtama No. 6 Labuh Baru,-,10404517
23233,Akademi Keperawatan Muhammadiyah Pekanbaru,Jl Kh Ahmad Dahlan No 88,-,10404516
23234,Akademi Keperawatan Dharma Husada,Harapan Raya No 1,-,10404515
23235,Akademi Kebidanan Sempena Negeri Pekanbaru,Jl Soekarno Hatta No 55 A-D,-,10404514
23236,Akademi Kebidanan Payung Negeri,Tamtama No 6,-,10404513
23237,Akademi Kebidanan Laksamana,Pekanbaru,-,10404512
23238,Akademi Kebidanan Internasional Pekanbaru,Lembaga Pemasyarakatan,-,10404511
23239,Akademi Kebidanan Helvetia,Jl. Soekarno Hatta No 88-C1,-,10404510
23240,Akademi Kebidanan Dharma Husada,Harapan Raya No 1 Tangkerang Timur,-,10404509
23241,Akademi Bahasa Asing Persada Bunda,Diponegoro No 42,-,10404508
23242,Akademi Analis Kesehatan Pekanbaru,Jln. Riau Ujung No 73,-,10404507
23243,Akademi Akuntansi Pelita Indonesia,Ahmad Yani No 82-88,-,10404506
23244,Akademi Akuntansi Mahaputra Riau,Paus No 19 A - D,-,10404505
23245,Akri Dumai,Jl.Bintan-Dumai,-,10495004
23246,Akademi Perawat Eri Bunga Tanjung,Jl.Tanjung Jati,-,10495003
23247,STAI,Jl.Raya Dumai-Pekanbaru,-,10495002
23248,STMIK Dumai,Jl. Jen.Sudirman No.266,-,10404554
23249,Sekolah Tinggi Teknik Dumai,Jalan Utama Karya Bukit Batrem,-,10404553
23250,Sekolah Tinggi Ilmu Administrasi Lancang Kuning,Gunung Merapi No 01 Bumi Ayu Dumai Riau,-,10404552
23251,Akademi Manajemen Informatika Dan Komputer Dumai,Jendral Sudirman No 266,-,10404551
23252,Akademi Keperawatan Sri Bunga Tanjung,Tanjung Jati,-,10404550
23253,STKIP Darud Dawah Wal Irsyad Mamuju,Jl Pasar Sentral/Al Quba 18 A,-,40602594
23254,STISIP Tanratupattanabali,Poros Mamuju Kalukku No 77,-,40602593
23255,Sekolah Tinggi Ilmu Pertanian Tanratupattanabali,Poros Mamuju Kalukku No 77,-,40602592
23256,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Mamuju,Pattalunru No 2,-,40602591
23257,AMIK Tomakaka Mamuju,Poros Mamuju Kalukku No 77,-,40602590
23258,Akademi Keperawatan Putra Pertiwi,Jalan Baharudin Lopa No 2,-,40602589
23259,Akademi Keperawatan Fatima Mamuju,Mamuju,-,40602588
23260,Universitas Al Asyariah Mandar,Budi Utomo No 2 Manding,-,40602597
23261,STIKES Bina Generasi Polewali Mandar,Polewali,-,40602596
23262,Akademi Keperawatan Yppp Wonomulyo,Jalan Gatot Subroto No 1 Wonomulyo,-,40602595
23263,AKPER Pemkab Majene,Majene,-,40602598
23264,Sekolah Tinggi Ilmu Kesehatan Majene,Poros Lutang,-,40602600
23265,Sekolah Tinggi Ilmu Ekonomi Yapman Majene,Sudirman 76,-,40602599
23266,STKIP Yapim Maros,Dr Ratulangi No 62 Maros,-,40310853
23267,Sekolah Tinggi Ilmu Pertanian Yapim Maros,Dr Ratulangi No 62,-,40310852
23268,Sekolah Tinggi Ilmu Manajemen Yapim Maros,Dr Ratulangi No 62 Maros,-,40310851
23269,Akademi Keperawatan Yapenas 21 Maros,Dakota Kompl Lanud Hnd Mandai,-,40310850
23270,Akademi Kebidanan Salewangan Maros,Poros Makassar - Maros,-,40310849
23271,STKIP Veteran Sidrap,Pelanduk No 6,-,40310856
23272,STKIP Andi Mattappa,Andi Mauraga No 70,-,40310855
23273,Politeknik Pertanian Negeri Pangkajene Kepulauan,Poros Makassar-Parepare Km 83 Mandalle,-,40310854
23274,Sekolah Tinggi Ilmu Keperawatan Famika,Matahari No 5a,-,40310859
23275,Akademi Keperawatan Gowa Raya,Sirajuddin Rani No 39 A Bonto-Bontoa,-,40310858
23276,Akademi Kebidanan Syekh Yusuf Gowa,Gowa,-,40310857
23277,STIKES Tanawali Takalar,Takalar,-,40310860
23278,STKIP Yapti Jeneponto,M Ali Gassing No 15,-,40310862
23279,Sekolah Tinggi Ilmu Ekonomi Yapti Jeneponto,M Ali Gassing No 1,-,40310861
23280,STKIP Muhammadiyah Barru,Kh Ahmad Dahlan No 1,-,40310864
23281,Sekolah Tinggi Ilmu Administrasi Al Gazali Barru,Jend Sudirman No 41,-,40310863
23282,STKIP Muhammadiyah Bone,Jalan Abu Daeng Pasolong No 62,-,40310869
23283,Sekolah Tinggi Ilmu Hukum Pengayoman,Mh Thamrin No 5,-,40310868
23284,Sekolah Tinggi Ilmu Ekonomi Yapi Bone,Jalan Yos Sudarso,-,40310867
23285,Sekolah Tinggi Ilmu Administrasi Prima,Urip Sumiharjo Km 1-5,-,40310866
23286,Akademi Keperawatan Lapatao,Jl M H Thamrin No 5,-,40310865
23287,STKIP Puangrimaggalatung Sengkang,Sultan Hasanuddin No 27,-,40310876
23288,STIA Puangrimaggalatung,Sultan Hasanuddin No 27,-,40310875
23289,Sekolah Tinggi Ilmu Pertanian Puangrimanggalatung,Sultan Hasanuddin No 27,-,40310874
23290,Sekolah Tinggi Ilmu Hukum Lamaddukelleng,Bosowa Utara Nomor 1,-,40310873
23291,Sekolah Tinggi Ilmu Ekonomi Lamaddukelleng,Bosowa Utara Nomor 1,-,40310872
23292,Akademi Keperawatan Pemda Sengkang,Wajo,-,40310871
23293,Akademi Keperawatan Kabupaten Wajo Sulsel,Jl Kartika Chandra Kirana 10,-,40310870
23294,Sekolah Tinggi Ilmu Ekonomi Lamappoleonro,Kesatria No 56 Soppeng,-,40310880
23295,Sekolah Tinggi Ilmu Administrasi Al Gazali Soppeng,Kesatria No 56 Soppeng,-,40310879
23296,AMIK Lamappapoleonro Soppeng,Kesatria No 56 Soppeng,-,40310878
23297,AKPER Putra Pertiwi Watansoppeng,Jl Samudra No 16,-,40310877
23298,STIMIK Lamappapoleonro,Ksatria No 56 Soppeng,-,40310881
23299,STKIP Muhammadiyah Bulukumba,Jalan Ir Soekarno No 9,-,40310883
23300,STISIP Muhammadiah Sinjai,Sultan Hasanuddin No 20,-,40310886
23301,STIP Muhammadiyah Sinjai,Sultan Hasanuddin No 20 Balangnipa,-,40310885
23302,Akademi Kebidanan Madani Sinjai,Sinjai,-,40310884
23303,STKIP Darud Dawah Wal Irsyad Pinrang,Jl A Wahani No 27,-,40310895
23304,STKIP Cokrominoto Pinrang,Abu Dg Pasolong No 62,-,40310894
23305,STIKES Nusantara Lasinring,Jalan Macan No 1,-,40310893
23306,Sekolah Tinggi Ilmu Teknik Baramuli,Pole Baramuli Km 3 Poros Pinrang-Polmas,-,40310892
23307,Sekolah Tinggi Ilmu Pertanian Yapi Pinrang,Jend Sudirman No 133,-,40310891
23308,Sekolah Tinggi Ilmu Kesehatan Baramuli,Pole Baramuli Km 3,-,40310889
23309,Sekolah Tinggi Ilmu Hukum Cokrominoto,Dr Wahidin Sudiro Husodo,-,40310887
23310,STKIP Muhammadiyah Rappang,Angkatan 45 No 1a Lautang Salo,-,40310897
23311,STISIP Muhammadiyah Rappang,Angkatan 45 No 1a Lautang Salo,-,40310896
23312,STKIP Muhammadiyah Enrekang,Jl. Jenderal Sudirman,-,40314087
23313,AKPER Sawerigading Pemda Luwu,Luwu,-,40310898
23314,Universitas Kristen Indonesia Toraja,Nusantara No 12,-,40310906
23315,STIKES Lakipadada,Jl Pong Tiku 39 Pantan Makale,-,40310905
23316,Sekolah Tinggi Ilmu Kesehatan Tana Toraja,Jln.Pontiku No 220 Rantepao,-,40310904
23317,Akademi Teknik Pratama Makale,Rantelemo,-,40310903
23318,Akademi Pariwisata Dian Rana Rantepao,Andi Mappanyuki No 114,-,40310902
23319,Akademi Keperawatan Rantepao,Jl.Pongtiku No.39,-,40310901
23320,Akademi Kebidanan Bina Sejahtera,Pramuka Rantepao,-,40310900
23321,Akademi Kebidanan Bakti Nusantara Rantepao,Rantepao,-,40310899
23322,Akademi Teknik Soroako,Soemantri Brojonegoro No 1 Sorowako,-,40310907
23323,Akademi Bahasa Asing Umi,Kakatua No 27,-,40310911
23324,Sekolah Tinggi Ilmu Ekonomi Makassar Maju,P Kemerdekaan,-,40310958
23325,Sekolah Tinggi Ilmu Ekonomi Lpi Makassar,Jalan Bung 32 Tamalanrea,-,40310957
23326,Sekolah Tinggi Ilmu Ekonomi Indonesia Makassar,Borong Raya No 4,-,40310956
23327,Sekolah Tinggi Ilmu Ekonomi Bongaya Ypbup Makassar,Letjend Mappaoddang No 28,-,40310955
23328,Sekolah Tinggi Ilmu Ekonomi Bajiminasa Makassar,Bajiminasa No 22,-,40310954
23329,STMIK Mattirowali Makassar,Letjen Mappaoddang No 77j,-,40310998
23330,STMIK Kharisma,Baji Ateka No 20,-,40310997
23331,STMIK Handayani Makassar,Urip Sumoharjo Km 4,-,40310996
23332,STMIK Dipanegara Makassar,Perintis Kemerdekaan Km.9,-,40310995
23333,STKIP Ypup Makassar,Andi Tonro No 17,-,40310994
23334,STKIP Pembangunan Indonesia,Sudirman No 42,-,40310993
23335,STIT ek Dirgantara,Pelita Raya A 22 Blok Aiii/1,-,40310992
23336,STIT ek Dharma Yadi Makassar,Sukaria No 22,-,40310991
23337,STISIP 17-8-1945 Makassar,A Pangerang Pettarani No 99,-,40310990
23338,STIM Lpi Makassar,Bung No 30 Tamalanrea,-,40310989
23339,STIM Lasharan Jaya Makassar,Abdullah Daeng Sirua No 106,-,40310988
23340,STIKS Tamalanrea Makassar,Jalan Ammanagappa No 12,-,40310987
23341,STIKS Bongaya Makassar,Abd Dg Sirua No 242,-,40310986
23342,STIKES Panakkukang,Jalan Adhiyaksa No 5,-,40310985
23343,STIKES Graha Edukasi,Jl Andi Pangeran Pettarani 99,-,40310984
23344,Sekolah Tinggi Theologia Intim Makassar,Baji Dakka No 7,-,40310983
23345,Sekolah Tinggi Teknologi Nusantara Indonesia,Perintis Kemerdekaan Km.9,-,40310982
23346,Sekolah Tinggi Teknik Kelautan Balik Diwa,Taman Makam Pahlawan No 1-3,-,40310981
23347,Sekolah Tinggi Ilmu Pariwisata Tamalatea Makassar,Tanggul Patompo No 9,-,40310980
23348,Sekolah Tinggi Ilmu Manajemen Publik Makassar,Jalan Maccini Tengah No 50-54,-,40310979
23349,Sekolah Tinggi Ilmu Manajemen Nitro Makassar,Racing Centre No 101,-,40310978
23350,Sekolah Tinggi Ilmu Manajemen Indonesia Yapmi,Ap Pettarani Km 9,-,40310977
23351,Sekolah Tinggi Ilmu Komunikasi Fajar Makassar,Racing Centre No 101,-,40310976
23352,Sekolah Tinggi Ilmu Kesehatan Yapika,Sultan Alauddin No 98,-,40310975
23353,Sekolah Tinggi Ilmu Kesehatan Tamalatea Makassar,P Kemerdekaan Km 12,-,40310974
23354,Sekolah Tinggi Ilmu Kesehatan Stella Maris Makasar,Jalan Mochtar Lutfi No 7,-,40310973
23355,Sekolah Tinggi Ilmu Kesehatan Nani Hasanuddin,Jl Perintis Kemerdekaan 8/24,-,40310972
23356,Sekolah Tinggi Ilmu Kesehatan Mega Rezky,Jalan Hertasning Baru,-,40310971
23357,Sekolah Tinggi Ilmu Kesehatan Makassar,Maccini Raya 197,-,40310970
23358,Sekolah Tinggi Ilmu Keperawatan Gunung Sari,Sultan Alauddin No 293,-,40310969
23359,Sekolah Tinggi Ilmu Hukum Gema Insani Akademik,Tanjung Bunga 59(32),-,40310968
23360,Sekolah Tinggi Ilmu Farmasi Makassar,Jl Perintis Kemerdekaan Km 13 Daya,-,40310967
23361,Sekolah Tinggi Ilmu Ekonomi Ypup Makassar,Jalan Andi Tonro No 17,-,40310966
23362,Sekolah Tinggi Ilmu Ekonomi Wira Bhakti,Pengayoman Akik Hijau E/6,-,40310965
23363,Sekolah Tinggi Ilmu Ekonomi Tri Dharma Nusantara,Gatot Subroto Baru No 54,-,40310964
23364,Sekolah Tinggi Ilmu Ekonomi Rezky,Jalan Syekh Yusuf Komplek Minasa Sari,-,40310963
23365,Sekolah Tinggi Ilmu Ekonomi Pembangunan Indonesia,Sudirman No 42,-,40310962
23366,Sekolah Tinggi Ilmu Ekonomi Patria Artha,Boulevard,196000,40310961
23367,Sekolah Tinggi Ilmu Ekonomi Nusantara Makassar,Nusantara No 4-6-8,-,40310960
23368,Sekolah Tinggi Ilmu Ekonomi Nobel Makassar,Pengayoman Mirah Ii /9-10 Panakkukang Mas,-,40310959
23369,Akademi Farmasi Kebangsaan Makassar,Makassar,-,40310912
23370,Akademi Bahasa Asing Atmajaya Makassar,Serui No 33,-,40310910
23371,Akademi Analis Kimia Yapika Makassar,Sultan Alauddin No 98,-,40310909
23372,Akademi Akuntansi Fajar Makassar,Racing Entre No 101,-,40310908
23373,Sekolah Tinggi Ilmu Ekonomi Amkop Makassar,Meranti No 1,-,40310953
23374,Sekolah Tinggi Ilmu Administrasi Yappi Makassar,Sumba No 46 Makassar,-,40310952
23375,Sekolah Tinggi Filsafat Jaffray Makassar,Gunung Merapi 103 Makassar,-,40310951
23376,Politeknik Negeri Ujung Pandang,Jl Perintis Kemerdekaan Km 10 Tamalanrea,-,40310950
23377,Politeknik Internasional Indonesia Makassar,Pengayoman Jasper Iii No 12-14,-,40310949
23378,Institut Sains Dan Teknologi Pembangunan Indonesia,Jend Sudirman No 42,-,40310948
23379,ASMI Yapika Makassar,Sultan Alauddin No 98,-,40310947
23380,AMIK Rezky Makassar,Jalan Syekh Yusuf Komplek Minasa Sari,-,40310946
23381,AMIK Profesional Makassar,A Petta Rani No 27,-,40310945
23382,AMIK Makassar,Maccini Raya No 197,-,40310944
23383,AKTEK Radiodiagnostik & Radioterapi Muhammadiyah,Jl.Ranggong No.21,-,40310943
23384,Akademi Teknik Otomotive Makassar,Meranti No 1,-,40310942
23385,Akademi Teknik Elektromedik Muhammadiyah Makassar,Makassar,-,40310941
23386,Akademi Sekretari Manajemen Indonesia Publik,Maccini Tengah No 50-54,-,40310940
23387,Akademi Sekretari Manajemen Indonesia Lpi Makassar,Bung No 30 Tamalanrea,-,40310939
23388,Akademi Sekretari Manajemen Atmajaya Makassar,Lamadukelleng No 3,-,40310938
23389,Akademi Pertambangan Makassar,Boulevard Raya  No 15-16 Panakkukang Mas I,-,40310937
23390,Akademi Perekam Medik Dan Infokes Panakkukang,Makassar,-,40310936
23391,Akademi Perdagangan Lasharan Jaya Makassar,Abd Dg Sirua No 106,-,40310935
23392,Akademi Perawat Panakkukang,Makassar,-,40310934
23393,Akademi Pariwisata Ypag Makassar,Jalan Batua Raya 7 N0 21,-,40310933
23394,Akademi Pariwisata Fajar Makassar,Racing Centre No 101,-,40310932
23395,Akademi Maritim Indonesia Veteran Makassar,Nuri Baru No 1,-,40310931
23396,Akademi Maritim Indonesia Aipi,Gatot Subroto Baru No 54,-,40310930
23397,Akademi Manajemen Perusahaan Makassar,Lembeh No 63,-,40310929
23398,Akademi Keperawatan Sandi Karsa,Bung No 37,-,40310928
23399,Akademi Keperawatan Reformasi,Pampang Ii Lr V No 01,-,40310927
23400,Akademi Keperawatan Nusantara Jaya Makassar,Perintis Kemerdekaan Km 13,-,40310926
23401,Akademi Keperawatan Nan Tongga,Makassar,-,40310925
23402,Akademi Keperawatan Muhammadiyah Makassar,Dr Ratulangi No 101,-,40310924
23403,Akademi Keperawatan Makasar,Jl Maccini Raya No 197,-,40310923
23404,Akademi Keperawatan Batari Toja,Kompleks Unm Blok D7/21,-,40310922
23405,Akademi Keperawatan Al Hambra Makassar,Jl Dr Ratulangi No 140-146,-,40310921
23406,Akademi Kebidanan Yapma Makassar,Jl Maccini Raya No 197,-,40310920
23407,Akademi Kebidanan Sandi Karsa,Bung No 27 Km 9 Tamalanrea,-,40310919
23408,Akademi Kebidanan Nusantara Jaya,Perintis Kemerdekaan Km 13,-,40310918
23409,Akademi Kebidanan Muhammadiyah Makassar,Jl. Tupai No. 112,-,40310917
23410,Akademi Kebidanan Minasa Upa,Makassar,-,40310916
23411,Akademi Ilmu Komputer Akba Makassar,Perintis Kemerdekaaan Km 9/75,-,40310915
23412,Akademi Ilmu Gizi Ypag Makassar,Batua Raya Vii No 21,-,40310914
23413,Akademi Hiperkes Makassar,Maccini Raya No 196,-,40310913
23414,Universitas Indonesia Timur,Rappocini Raya No 171,196000,40311005
23415,Universitas Hasanuddin,Jl Perintis Kemerdekaan Km 10 Tamalanrea,-,40311004
23416,Universitas Cokroaminoto Makassar,Perintis Kemerdekaan Km 11,-,40311003
23417,Universitas Atma Jaya Makassar,Tanjung Alang No 23,-,40311002
23418,Universitas 45 Makassar,Jalan Urip Sumoharjo Km 4,-,40311001
23419,Universitas Veteran Ri,Gunung Bawakaraeng No 72,-,40311016
23420,Universitas Sawerigading Makassar,Sembilan No 24 Makassar,-,40311015
23421,Universitas Satria Makassar,Veteran Selatan No 316,-,40311014
23422,Universitas Pepabri Makassar,Gunung Batu Putih No 38 A,-,40311013
23423,Universitas Pancasakti,Andi Mangerangi No 73,-,40311011
23424,Universitas Negeri Makassar,Jalan A P Pettarani Gunungsari,-,40311010
23425,Universitas Muslim Indonesia,Kakatua No 27,-,40311009
23426,Universitas Muhammadiyah Makasar,Sultan Alauddin No 259,-,40311008
23427,Universitas Kristen Indonesia Paulus,Biring Romang Km 13 Daya,-,40311007
23428,Universitas Islam Makassar,Perintis Kemerdekaan Km 9/29,-,40311006
23429,Universitas Muhammadiyah Pare-Pare,Jalan Jenderal Ahmad Yani Km 6,-,40311021
23430,Sekolah Tinggi Ilmu Hukum Amsir,Bau Massepe No 52 A,-,40311020
23431,Sekolah Tinggi Ilmu Ekonomi Amsir Pare-Pare,Bau Massepe No 52 A,-,40311019
23432,Akademi Sekretari Manajemen Amsir Pare-Pare,Padat Karya No 11,-,40311018
23433,Akademi Keperawatan Fatima Pare-Pare,Pare-Pare,-,40311017
23434,Akademi Kebidanan Kamanre Palopo,Palopo,-,40311022
23435,Universitas Cokroaminoto Palopo,Anggrek No 09b,-,40311032
23436,Universitas Andi Jemma Palopo,Sultan Hasanuddin No 13,-,40311031
23437,STISIP Veteran Palopo,Diponegoro No 33,-,40311030
23438,STIKES Kurnia Jaya Persada,Palopo,-,40311029
23439,STIKES Bhakti Pertiwi Luwu Raya,Palopo,-,40311028
23440,Sekolah Tinggi Ilmu Hukum Damarica Palopo,K H Muhammad Razak,-,40311027
23441,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Palopo,Jend Sudirman Km 03 Binturu,-,40311026
23442,AMIK Ibnu Khaldum Palopo,Batara No 8 A Palopo,-,40311025
23443,Akademi Keperawatan Kamanre,Benteng Raya I No 7,-,40311024
23444,Akademi Kebidanan Muhammadiyah Palopo,Palopo,-,40311023
23445,Universitas Sintuwu Maroso Poso,Pulau Timor No 1,-,40203846
23446,Sekolah Tinggi Ilmu Hukum Kotawaringin,Achmad Wongso No 100 Rt 24,-,40203845
23447,Sekolah Tinggi Ilmu Ekonomi Nusantara,Iskandar No 63,-,40203844
23448,Universitas Tompotika Luwuk Banggai,Jalan Dewi Sartika No 65,-,40203849
23449,Universitas Muhammadiyah Luwuk Banggai,Kh Ahmad Dahlan No 79,-,40203848
23450,AMIK Luwuk Banggai,Urip Sumoharjo 1  No 3,-,40203847
23451,Universitas Madako Toli-Toli,Jalan Madako No 1,-,40203853
23452,STISIP Mujahidin,Samratulangi No 51,-,40203852
23453,Sekolah Tinggi Ilmu Pertanian Mujahidin Toli-Toli,Dr Samratulangi No 51,-,40203851
23454,Sekolah Tinggi Ilmu Ekonomi Mujahidin,Dr Samratulangi No 51 Kelurahan Tuweley,-,40203850
23455,Universitas Tadulako,Jl. Bumi Roviga Palu,-,40203909
23456,Akademi Keperawatan Justitia,Palu,-,40203856
23457,Universitas Tadulako,Kampus Bumi Kaktus Tondo,-,40203870
23458,Universitas Muhammadiyah Palu,Hang Tuah No 29 Palu,-,40203869
23459,Universitas Alkhairaat,Diponegoro No 39,-,40203868
23460,STMIK Bina Mulya,Soeprapto No 38,-,40203867
23461,STMIK Adhi Guna,Dr Wahidin No 15,-,40203866
23462,STISIP Panca Bhakti Palu,Dr Soeharso No 36 A Palu,-,40203865
23463,Sekolah Tinggi Perikanan Dan Kelautan Palu,Soekarno Hatta,-,40203864
23464,Sekolah Tinggi Ilmu Kesehatan Indonesia Jaya,Towua No 114,-,40203863
23465,Sekolah Tinggi Ilmu Farmasi Pelita Mas,Jalan Monginsidi No 106-A,-,40203862
23466,Sekolah Tinggi Ilmu Ekonomi Panca Bhakti Palu,Dr Suharso No 36 A,-,40203861
23467,Sekolah Tinggi Ilmu Administrasi Pembangunan,Jalan Nuri 18,-,40203860
23468,Sekolah Tinggi Ilmu Administrasi Pancamarga Palu,Dayo Dara No 18 B,-,40203859
23469,Asmi Shita Palu,Jend Soeprapto No 67,-,40203858
23470,AMIK Tri Dharma Palu,Undata No 10,-,40203857
23471,Akademi Kebidanan Palu Sulawesi Tengah,Palu,-,40203855
23472,Akademi Farmasi Medika Nusantara,Palu,-,40203854
23473,Akademi Kebidanan Konawe,Konawe,-,40403046
23474,Universitas 19 November Kolaka,Jalan Merdeka No 13,-,40403049
23475,Sekolah Tinggi Teknik Mekongga Kolaka,Pelanduk No 5 Lalombaa,-,40403048
23476,AMIK Mikenium Kolaka,Pemuda No 365,-,40403047
23477,Sekolah Tinggi Ilmu Pertanian Wuna Raha,Jalan Jenderal Sudirman No 65 Lepo-Lepo,-,40403066
23478,Sekolah Tinggi Ilmu Pertanian Kendari,Mayjen Sutoyo No 83 Kemaraya,-,40403065
23479,Sekolah Tinggi Ilmu Kesehatan Avicenna,Mt Haryono No G 14,-,40403064
23480,Sekolah Tinggi Ilmu Ekonomi Enam Enam Kendari,Bunga Kamboja No 79 Kemaraya,-,40403063
23481,Sekolah Tinggi Ilmu Ekonomi Dharma Barata Kendari,A Yani No 30a - 30b,-,40403062
23482,AMIK Yapenas Kendari,R Soeprapto No 14,-,40403061
23483,AMIK Milan Kendari,Mt Haryono No 90 Wua-Wua,-,40403060
23484,Universitas Sulawesi Tenggara,Piere Tendean No 109 A,-,40403072
23485,Universitas Muhammadiyah Kendari,Kh Ahmad Dahlan No 10,-,40403071
23486,STMIK Catur Sakti Kendari,Abd Silondae No 109,-,40403069
23487,STIMIK Bina Bangsa,R Suprapto No 14,-,40403068
23488,STIKES Mandala Waluya Kendari,Jalan Jend Ah Nasution No G-37,-,40403067
23489,Universitas Haluoleo,Jalan Malaka Anduonohu,-,40403070
23490,AMIK Catur Sakti Kendari,Abdullah Silondae No 109,-,40403059
23491,Akademi Teknik Kendari,Balai Kel Sodohoa No 3,-,40403058
23492,Akademi Parawisata Kendari,Mayjend S Parman No 84,-,40403057
23493,Akademi Manajemen Informatika Dan Komputer Kendari,Mt Haryono No 92 Kendari,-,40403056
23494,Akademi Ketalak Pelayaran Niaga/Keplb Kendari,Mayjen Sutoyo No 73 Kemaraya,-,40403055
23495,Akademi Keperawatan Ppni Kendari,Kendari,-,40403054
23496,Akademi Kebidanan Pelita Ibu,Jl Syech Yusuf No 12 Mandonga,-,40403053
23497,Akademi Farmasi Bina Husada Kendari,Asrama Haji No 17 Baruga,-,40403052
23498,Akademi Bahasa Asing Barakati Kendari,Jalan Mt Haryono No 78,-,40403051
23499,Akademi Analis Kesehatan Kendari,Kendari,-,40403050
23500,Universitas Muhammadiyah Buton,Muh Husni Thamrin No 30,-,40403074
23501,Universitas Dhayanu Ikhsanuddin,Yos Sudarso No 43,-,40403073
23502,Universitas Dumoga Bone Kotamubagu,Ahmad Yani Nomor 184,-,40103322
23503,Sekolah Tinggi Ilmu Ekonomi Widya Dharma,A Yani No 2 Kotamobagu,-,40103321
23504,Akademi Keperawatan Totabuan Kotamobagu,Jalan Kesatria,-,40103320
23505,Universitas Negeri Manado,Kampus Unima Tonsaru,-,40103324
23506,Sekolah Tinggi Filsafat Seminari Pineleng,Raya Amando Tomohon Pineleng Ii,-,40103323
23507,Politeknik Nusa Utara,Jalan Malahasa,-,40103326
23508,Akademi Keuangan Perbankan Tahuna,Gereja Kompleks Sinode Gmist Kel Sawang Bendar,-,40103325
23509,Universitas Sam Ratulangi,Jalan Kampus Unsrat,-,40103365
23510,Universitas Pembangunan Indonesia,Wolter Mongisidi Vi/129 Lingkungan Ii Bahu,-,40103364
23511,Universitas Nusantara Manado,Sudirman No 2,-,40103363
23512,Universitas Klabat,Universitas Klabat Airmadidi,-,40103362
23513,Universitas Katolik De La Salle,Kairagi I Kombos,-,40103361
23514,STMIK Parnaraya,Samratulangi I No 2,-,40103360
23515,STMIK Multicom Bolaan Mongondow,Sutoyo No 64 A Kotamobagu,-,40103359
23516,STMIK Matuari,Krida Malalayang,-,40103358
23517,STKIP PGRI Manado,17 Agustus No 26,-,40103357
23518,STISIP Swadaya,Kartini,-,40103356
23519,STISIP Merdeka Manado,Kel Mahawu Kec Tuminting,-,40103355
23520,Sekolah Tinggi Ilmu Pariwisata Manado,Flamboyan Gd Smk Negeri 1,-,40103354
23521,Sekolah Tinggi Ilmu Komunikasi Manado,Adinegoro Malalayang I,-,40103353
23522,Sekolah Tinggi Ilmu Kesejahteraan Sosial Manado,Wolter Mongisidi Vi No 129 Bahu,-,40103352
23523,Sekolah Tinggi Ilmu Ekonomi Swadaya,Samratulangi,-,40103351
23524,Sekolah Tinggi Ilmu Ekonomi Sulawesi Utara,Samratulangi No?103,-,40103350
23525,Sekolah Tinggi Ilmu Ekonomi Pioner Manado,Cereme Kel Singkil,-,40103349
23526,Sekolah Tinggi Ilmu Ekonomi Pariwisata,14 Februari No 5 Teling Atas,-,40103348
23527,Sekolah Tinggi Ilmu Ekonomi Harapan Kasih Manado,Di Panjaitan No 61,-,40103347
23528,Sekolah Tinggi Ilmu Ekonomi El Fatah Manado,Sam Ratulangi No 41,-,40103346
23529,Sekolah Tinggi Ilmu Ekonomi Eben Haezer Manado,14 Februari Teling Atas Kecamatan Wanea,-,40103344
23530,Sekolah Tinggi Ilmu Ekonomi Budi Utomo Manado,14 Februari 25 Teling Atas,-,40103343
23531,Sekolah Tinggi Ilmu Bahasa Asing Bumi Beringin,14 Februari No 159,-,40103342
23532,Politeknik Negeri Manado,Kampus Desa Buha Kecamatan Mapanget,-,40103341
23533,AMIK Parnaraya Manado,Samratulangi I No 2,-,40103340
23534,Akademi Sekretari Manajemen Indonesia Klabat,Universitas Klabat Airmadidi,-,40103329
23535,Akademi Keperawatan Baramuli,Jl Arnold Mononutu Airmadidi,-,40103327
23536,Akademi Pariwisata Manado,Jalan Bethesda No 72,-,40103328
23537,Sekolah Tinggi Ilmu Ekonomi La Tansa Mashiro,Soekarno Hatta Pasirjati,-,40103370
23538,AMIK Wira Nusantara,Patih Derus No 2b,-,40103369
23539,Akademi Maritim Indonesia Bitung,Piere Tendean Manembo-Nembo,-,40103368
23540,Akademi Manajemen Bitung,Bitung,-,40103367
23541,Akademi Keperawatan Yatna Yuana Lebak,Jl.Jend.Sudirman Km.2 Rangkasbitung,-,40103366
23542,Sekolah Tinggi Ilmu Ekonomi Petra,Manembo Nembo,-,40103371
23543,STKIP Setiabudhi,Budi Utomo No 22l,-,40103372
23544,STMIK Samudra Bitung,Babe Palar No 141,-,40103373
23545,Universitas Sari Putra Tomohon,Kakaskasen Ii,-,40103378
23546,Universitas Kristen Indonesia Tomohon,Raya Kakaskasen Tiga,-,40103377
23547,Institut Teknologi Minaesa,Stadion Selatan Walian,-,40103376
23548,Akademi Perawat Gunung Maria,Tomohon,-,40103375
23549,Akademi Keperawatan Bethesda Tomohon,Komplek Akper Bethesda Tomohon,-,40103374
23550,Sekolah Tinggi Ilmu Kesehatan Ceria Buana,Tuanku Nan Renceh Padang Baru,-,10304897
